Date,"Matcha","Bubble tea","Tea","Hot chocolate","Espresso","Latte macchiato","Cappuccino","Chai latte","Pumpkin spice latte","Iced coffee"
2020-07-01,1969,2012,1944,219,958,215,812,4,2,282
2020-07-02,1960,2085,1858,214,854,198,861,4,0,309
2020-07-03,1920,2204,1940,198,998,181,869,2,0,234
2020-07-04,1822,2119,1969,239,1001,222,831,2,3,281
2020-07-05,1954,2176,1940,210,993,249,852,1,3,313
2020-07-06,1881,2068,1887,242,938,192,772,0,0,268
2020-07-07,1931,2120,1924,226,988,196,822,0,1,285
2020-07-08,1776,2157,1885,257,960,198,780,1,1,252
2020-07-09,1966,2101,1916,210,977,226,800,0,2,273
2020-07-10,1837,2145,1910,199,979,259,836,1,0,280
2020-07-11,2010,2372,1634,238,1002,223,840,0,1,312
2020-07-12,2277,2338,1921,231,1078,252,955,0,1,2742
2020-07-13,2130,2001,1899,203,1023,244,822,0,0,2902
2020-07-14,2120,2042,1958,231,993,235,741,2,0,938
2020-07-15,2234,2047,1906,247,989,278,795,5,0,597
2020-07-16,2618,2086,1925,285,986,260,884,3,2,535
2020-07-17,2290,2483,1815,247,1043,267,861,0,1,390
2020-07-18,2311,2443,1774,199,1112,280,876,2,1,618
2020-07-19,2394,2462,1987,227,1054,269,939,0,2,559
2020-07-20,2255,2418,1895,246,986,257,835,0,0,589
2020-07-21,2287,2343,1879,245,1072,233,820,2,0,413
2020-07-22,2183,2175,1947,270,1076,211,801,3,2,389
2020-07-23,2059,2194,1871,271,1086,254,856,0,0,294
2020-07-24,2068,2247,1890,350,963,233,796,2,2,378
2020-07-25,2115,2620,1869,259,1046,272,911,5,4,301
2020-07-26,2197,2616,1918,282,1159,249,857,1,1,568
2020-07-27,2069,2370,1991,244,1091,237,892,0,3,329
2020-07-28,2126,2264,1874,266,1045,214,766,1,1,322
2020-07-29,1939,2348,1892,250,977,273,836,0,0,351
2020-07-30,2061,1969,1792,275,997,264,797,4,1,306
2020-07-31,2030,1908,1787,234,907,207,702,0,2,315
2020-08-01,2062,2107,1701,215,921,260,901,1,1,316
2020-08-02,2260,2219,1733,285,1047,243,842,0,1,300
2020-08-03,1986,1935,1831,244,1018,290,770,2,0,315
2020-08-04,1990,1930,1890,234,1050,254,836,0,0,1695
2020-08-05,1846,1922,1886,228,1033,260,864,2,3,241
2020-08-06,1927,1898,1781,250,1009,260,814,1,3,300
2020-08-07,1767,1903,1796,258,1049,260,798,1,2,394
2020-08-08,2158,1994,1797,211,1043,276,946,2,1,449
2020-08-09,2189,4416,1985,242,1032,262,877,2,1,453
2020-08-10,2058,2245,2005,232,995,256,800,3,0,408
2020-08-11,1859,2083,1964,218,1047,267,791,3,2,455
2020-08-12,1975,1947,1844,228,1098,191,863,4,1,413
2020-08-13,1924,2319,2023,231,999,236,807,0,1,303
2020-08-14,1918,2379,1736,229,1058,230,913,1,4,328
2020-08-15,2272,2457,1698,212,1032,252,935,1,2,439
2020-08-16,2127,2266,1918,264,1093,280,1009,1,3,421
2020-08-17,2027,1964,1895,272,1054,259,788,1,3,340
2020-08-18,2121,2063,1930,255,1042,259,813,1,0,275
2020-08-19,1945,1985,1888,259,1040,251,830,1,1,262
2020-08-20,1959,2496,1887,236,1033,251,811,2,4,275
2020-08-21,1846,2264,1748,272,1036,229,860,3,2,257
2020-08-22,2074,2648,1770,228,1097,286,803,1,3,315
2020-08-23,2001,4277,2007,252,1075,322,1056,0,0,257
2020-08-24,2218,5651,2246,243,1074,241,832,2,3,205
2020-08-25,2089,5935,2169,660,1269,277,915,2,5,278
2020-08-26,1858,4637,2063,382,1115,259,962,2,4,226
2020-08-27,1781,3575,1944,570,972,254,875,2,7,228
2020-08-28,1797,2814,1878,452,970,249,855,1,0,196
2020-08-29,1942,3022,1887,302,1061,295,890,0,2,242
2020-08-30,2021,2897,1837,337,1107,270,960,1,1,267
2020-08-31,1984,2477,1862,346,1015,266,828,2,1,215
2020-09-01,1798,2564,2035,291,1029,213,774,7,1,187
2020-09-02,1864,2730,2017,282,1026,260,752,1,1,217
2020-09-03,1859,2403,1929,270,1020,255,864,2,0,213
2020-09-04,1705,2620,1925,263,1061,260,812,2,0,172
2020-09-05,1913,2838,1958,237,1064,271,879,0,0,219
2020-09-06,2243,2994,2097,245,1037,276,1034,5,1,187
2020-09-07,2087,2911,2035,236,1067,263,919,2,3,225
2020-09-08,1970,2773,1978,283,1039,206,898,1,4,190
2020-09-09,1700,2376,2079,272,1032,243,875,2,6,175
2020-09-10,1651,2557,2034,314,1128,312,873,0,1,175
2020-09-11,1715,2494,1993,290,1046,281,947,2,1,186
2020-09-12,1885,2414,1856,247,1121,336,1032,1,1,203
2020-09-13,2019,2829,1808,284,1120,391,1004,1,1,215
2020-09-14,1789,2564,1981,238,1107,262,795,0,4,194
2020-09-15,1993,2154,2023,274,1060,337,951,4,0,202
2020-09-16,1944,2018,1993,277,1026,254,868,1,2,176
2020-09-17,2007,2012,1993,264,1038,267,890,2,4,186
2020-09-18,1832,1958,1956,313,1000,267,987,1,4,150
2020-09-19,1876,2310,1921,335,1082,270,973,1,3,160
2020-09-20,2015,2430,1967,278,1010,332,982,2,3,213
2020-09-21,1898,2172,2190,304,1122,252,929,2,1,170
2020-09-22,1871,1897,2237,289,1119,324,966,3,2,186
2020-09-23,1984,1868,2088,320,1089,294,925,0,1,168
2020-09-24,2016,2149,2019,281,1065,273,961,0,5,168
2020-09-25,1900,2011,1985,285,1046,256,881,1,6,166
2020-09-26,2051,2149,1883,251,1042,285,981,3,3,173
2020-09-27,2389,2132,1870,316,1035,300,1086,3,1,167
2020-09-28,2120,1951,2025,293,1011,239,847,5,5,179
2020-09-29,1918,2039,2060,318,1156,296,1044,5,1,185
2020-09-30,1750,1814,1991,295,1029,235,961,0,3,164
2020-10-01,1745,1680,1904,258,1071,253,1019,2,6,181
2020-10-02,1643,1725,1769,236,994,258,949,3,3,142
2020-10-03,1925,1988,1789,247,1040,286,1013,6,1,144
2020-10-04,1985,2038,2124,290,1124,286,1019,2,3,166
2020-10-05,1769,1869,2030,332,1074,232,964,0,3,162
2020-10-06,1644,1728,1924,350,1033,229,921,4,2,174
2020-10-07,1739,1796,1983,350,1010,240,949,1,3,168
2020-10-08,2041,1914,1990,372,1013,234,971,3,6,211
2020-10-09,1914,1861,1838,365,1007,231,876,1,6,167
2020-10-10,1955,1975,1887,349,1001,266,1102,5,3,179
2020-10-11,2067,2191,1859,386,1013,318,1152,2,2,167
2020-10-12,1791,1905,2105,371,1071,262,988,3,4,156
2020-10-13,1831,1758,2088,395,1039,237,1043,0,0,149
2020-10-14,1708,1720,2049,516,1055,293,1136,1,3,159
2020-10-15,1923,1828,2044,400,1031,278,1061,2,3,177
2020-10-16,1846,1805,1825,366,1039,266,1026,3,3,165
2020-10-17,2141,2156,1936,336,1099,382,1078,7,6,178
2020-10-18,2058,2095,1926,368,1136,335,1163,2,4,171
2020-10-19,1909,1854,2188,373,1162,294,1079,1,1,137
2020-10-20,1924,1870,1957,412,1132,279,1006,5,4,171
2020-10-21,1932,2435,2180,389,1134,272,960,2,4,170
2020-10-22,1952,1760,1989,435,1180,288,1013,3,1,160
2020-10-23,1788,1671,1787,355,978,296,990,0,1,156
2020-10-24,1928,1898,1853,375,1085,325,1033,1,2,165
2020-10-25,2244,1948,1898,368,1155,348,1201,5,3,150
2020-10-26,2051,1719,2104,451,1120,343,1067,1,3,175
2020-10-27,14333,1728,2188,432,1113,317,1083,5,7,202
2020-10-28,6816,1761,2134,419,1088,344,1033,1,3,173
2020-10-29,3757,1684,1942,422,1045,310,958,2,0,165
2020-10-30,3715,1739,1867,397,1042,326,956,0,1,151
2020-10-31,4479,1815,1655,338,1018,309,1006,0,0,137
2020-11-01,4055,1802,1801,378,1056,333,1142,1,3,137
2020-11-02,3634,1659,1979,447,1091,241,1042,1,3,152
2020-11-03,2785,1493,1942,394,1006,288,1025,0,2,122
2020-11-04,2173,1476,1892,389,913,225,819,1,0,135
2020-11-05,2020,1585,2020,438,1171,250,991,2,1,155
2020-11-06,2244,1753,2004,364,1070,261,1052,2,2,189
2020-11-07,2250,1911,1898,320,1066,320,1008,1,1,141
2020-11-08,2379,1979,1896,437,1123,319,1393,1,2,137
2020-11-09,2307,1719,2081,431,1223,273,1239,1,2,182
2020-11-10,2095,1662,1950,427,1226,281,1105,0,3,141
2020-11-11,2094,1661,2066,477,1169,275,1101,2,1,167
2020-11-12,1991,1624,1981,484,1210,272,1051,1,2,146
2020-11-13,1918,1627,1999,416,1099,239,905,3,1,158
2020-11-14,2146,1783,1781,382,1086,350,1074,0,3,123
2020-11-15,2539,1892,1905,508,1202,303,1083,2,4,157
2020-11-16,2192,1656,2049,500,1136,256,962,3,2,187
2020-11-17,2060,1574,2402,476,1287,255,991,1,0,168
2020-11-18,2008,1804,2400,461,1100,259,1083,2,1,172
2020-11-19,2096,1623,2185,465,1276,270,1024,0,1,166
2020-11-20,1889,1685,2107,442,1184,271,1022,1,3,132
2020-11-21,2216,1850,1856,439,1207,305,1059,1,0,143
2020-11-22,2347,2232,2190,503,1423,273,1257,5,1,152
2020-11-23,2009,1859,2235,545,1528,258,1130,0,0,125
2020-11-24,2024,1824,2170,513,1255,282,1065,3,1,152
2020-11-25,2012,1690,2198,461,1212,280,1009,1,1,154
2020-11-26,1917,1570,2105,513,1277,293,998,0,2,174
2020-11-27,2473,1526,2338,500,1281,260,1013,2,2,150
2020-11-28,2369,1893,2220,476,1347,300,1185,0,1,145
2020-11-29,2357,1830,2355,533,1392,325,1212,2,4,182
2020-11-30,2176,1654,2460,571,1337,286,1112,3,1,125
2020-12-01,2093,1615,2274,642,1231,269,1038,2,1,139
2020-12-02,2080,1563,2317,666,1284,260,1016,0,1,156
2020-12-03,2119,1524,2312,612,1314,282,1099,0,0,127
2020-12-04,1935,1584,1980,506,1251,299,1110,4,0,148
2020-12-05,2353,1641,1894,533,1253,287,1157,2,0,144
2020-12-06,2322,1723,2015,675,1322,369,1160,2,1,141
2020-12-07,2046,1969,2103,708,1331,272,1007,1,1,156
2020-12-08,2059,2421,2102,661,1384,293,1125,3,0,130
2020-12-09,2115,1802,2179,730,1314,269,1005,2,1,132
2020-12-10,1903,1684,2235,635,1343,261,1098,3,0,137
2020-12-11,1868,1557,2161,610,1169,247,1008,1,2,136
2020-12-12,2125,1829,2057,612,1335,327,1060,3,0,126
2020-12-13,2194,1743,2149,578,1233,306,1166,0,2,115
2020-12-14,1989,1612,2456,752,1182,282,1045,1,2,134
2020-12-15,1971,1490,2727,735,1214,298,968,1,0,111
2020-12-16,1836,1606,2335,734,1125,245,1089,2,1,126
2020-12-17,1732,1715,2166,826,1162,235,937,1,2,107
2020-12-18,1616,1521,2109,719,1097,242,988,1,2,88
2020-12-19,1869,1671,1919,572,1201,262,1080,1,0,115
2020-12-20,1891,1697,1909,673,1247,255,1075,0,0,120
2020-12-21,1778,1637,2344,686,1201,248,933,1,3,97
2020-12-22,1727,1467,1970,787,1142,251,991,0,2,119
2020-12-23,1752,1384,1882,648,1191,268,988,2,1,111
2020-12-24,1694,1252,1790,697,1146,273,938,0,1,125
2020-12-25,1656,1179,1772,710,1251,328,1046,0,3,90
2020-12-26,2070,1452,1834,564,1433,414,1141,0,2,141
2020-12-27,2126,1534,2116,622,1420,396,1219,4,1,109
2020-12-28,2095,1591,2180,772,1363,352,1133,1,1,143
2020-12-29,2082,1576,2143,494,1391,393,1065,1,2,104
2020-12-30,2076,1488,2199,464,1239,367,1118,1,0,115
2020-12-31,1795,1491,2196,424,1143,281,935,3,2,107
2021-01-01,1827,1458,1844,449,1111,281,967,2,1,135
2021-01-02,2277,1685,2031,498,1305,333,1075,0,4,122
2021-01-03,2280,1689,2263,498,1361,317,1129,1,0,124
2021-01-04,2312,1748,2266,481,1398,298,965,0,0,140
2021-01-05,2275,1592,2251,491,1368,270,965,0,1,147
2021-01-06,2887,1590,2271,429,1276,281,897,6,0,129
2021-01-07,2438,1594,2142,370,1113,273,908,0,3,153
2021-01-08,2407,1592,2129,453,1247,289,971,1,3,139
2021-01-09,2786,1798,2030,441,1273,416,1157,1,1,136
2021-01-10,2724,1743,2247,483,1805,370,1199,3,1,154
2021-01-11,2773,1617,2273,442,1198,290,991,2,1,155
2021-01-12,2569,1654,2226,424,1218,281,1012,4,0,154
2021-01-13,2665,1577,2135,422,1175,288,1077,0,2,159
2021-01-14,2769,1693,2206,412,1105,360,976,2,0,109
2021-01-15,2354,1559,2021,420,1078,319,890,0,3,133
2021-01-16,2719,1862,2167,371,1250,395,1036,1,0,140
2021-01-17,2847,1863,2071,395,1204,384,1070,1,1,155
2021-01-18,2722,1774,2409,407,1123,315,977,1,0,132
2021-01-19,2602,1614,2303,459,1136,319,893,2,3,158
2021-01-20,2278,1451,2056,413,979,275,794,3,2,143
2021-01-21,2498,1715,2226,377,1112,290,846,1,2,167
2021-01-22,2315,1590,2200,371,1036,268,897,4,4,142
2021-01-23,2682,1912,2126,447,1182,383,1026,1,0,148
2021-01-24,2922,1877,2176,437,1189,356,1072,2,3,427
2021-01-25,2530,1660,2472,481,1111,286,927,5,2,198
2021-01-26,2487,1533,2579,563,1040,286,852,1,1,164
2021-01-27,2484,1508,2227,483,1114,288,915,0,4,166
2021-01-28,2512,1481,2471,464,1109,309,867,1,0,174
2021-01-29,2409,1618,1967,455,1017,312,932,1,0,151
2021-01-30,2794,2034,2034,419,1146,337,1031,1,1,172
2021-01-31,2925,2350,2241,558,1199,335,1075,0,2,187
2021-02-01,2517,1587,2331,523,1080,282,882,3,0,185
2021-02-02,2403,1733,2168,468,1089,290,938,2,2,193
2021-02-03,2622,1648,2307,431,1099,244,854,3,1,147
2021-02-04,2553,1831,2341,387,1168,283,887,2,0,136
2021-02-05,2329,1849,2138,365,1104,283,958,0,3,139
2021-02-06,2654,2270,2012,355,1086,351,1010,2,1,149
2021-02-07,2639,2061,2358,436,1243,336,998,0,2,149
2021-02-08,2288,1603,2332,382,1090,268,808,0,2,155
2021-02-09,2344,1586,2284,460,1013,245,826,5,4,179
2021-02-10,2291,1489,2225,370,1113,261,888,0,0,163
2021-02-11,2286,1499,2200,381,1039,273,818,0,1,170
2021-02-12,2169,1539,2169,412,1037,262,943,0,0,199
2021-02-13,2469,1736,2091,416,1085,324,1017,0,6,170
2021-02-14,2541,2056,2184,464,1083,320,1140,4,1,142
2021-02-15,2452,1668,2309,369,1102,282,1014,1,0,190
2021-02-16,2408,1594,2264,507,1119,301,901,3,2,153
2021-02-17,2498,1792,2250,414,1053,273,923,0,2,183
2021-02-18,2547,1720,2206,430,1028,312,946,0,1,146
2021-02-19,2464,1651,2177,395,1052,275,894,1,2,177
2021-02-20,2841,1910,2100,374,1089,376,1121,0,3,187
2021-02-21,2938,1929,2319,375,1293,407,1159,1,2,580
2021-02-22,2681,1856,2239,342,1144,310,1005,1,0,273
2021-02-23,2736,1718,2222,382,1143,276,917,2,0,204
2021-02-24,3047,1680,2350,370,1055,323,955,3,1,244
